Player,Tm,POS,AGE,GP,MPG,MIN,USG,TO,FTA,FT,2PA,PP,3PA,PPP,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
Collin Sexton,CLE,PG,22.36,60,35.3,73.4,29.7,11.6,383,0.815,841,0.508,264,0.371,0.519,0.573,24.3,3.1,4.9,4.4,22.6,1.05,0.17,2.78,7.8,110.7,112.1
Lamar Stevens,CLE,F,23.86,40,12.5,26,15.9,12.7,51,0.725,111,0.523,25,0.16,0.471,0.521,4.1,2.4,10.7,0.6,7.5,0.43,0.33,0.58,5.8,103,106
Brodric Thomas,CLE,G,24.3,28,13.4,27.9,15.8,13.2,39,0.667,48,0.458,53,0.283,0.441,0.487,4.1,1.8,7.3,0.9,9.9,0.5,0.32,0.64,5.6,96.5,108.1
Anderson Varejao,CLE,F,38.63,5,7.2,15,25.4,4.8,9,0.556,15,0.267,1,0,0.25,0.326,2.6,4,31.1,0.6,12.2,0,0.4,0.2,10.2,90.1,104.6
Dean Wade,CLE,C,24.49,63,19.2,40.1,12.9,8.4,39,0.769,98,0.571,213,0.366,0.556,0.573,6,3.4,9.9,1.2,8.9,0.54,0.33,0.48,6,115.5,111
Dylan Windler,CLE,SF,24.65,31,16.5,34.5,14.9,18.3,27,0.778,53,0.585,78,0.333,0.534,0.563,5.2,3.5,11.6,1.1,9.4,0.61,0.39,1.03,6.6,102,108.9
Tyler Bey,DAL,PF,23.26,18,3.9,8.2,16.9,11,5,0.6,18,0.333,4,0.25,0.341,0.372,1,1,14,0.2,5.6,0,0.06,0.17,6,,
Jalen Brunson,DAL,PG,24.71,68,25,52,20.2,10.3,151,0.795,427,0.578,200,0.405,0.588,0.618,12.6,3.4,7.5,3.5,21.3,0.51,0.01,1.18,8.5,123,110.7
Trey Burke,DAL,PG,28.51,62,14.7,30.6,19.9,8,57,0.895,189,0.492,164,0.354,0.51,0.544,6.6,0.9,3.3,1.3,12.9,0.6,0.1,0.53,5.4,110,110.7
Willie Cauley-Stein,DAL,C,27.75,53,17.1,35.6,12,11.8,78,0.628,171,0.667,11,0.091,0.635,0.647,5.3,4.5,14.4,0.7,5.3,0.4,0.81,0.55,6,128,99.5
Luka Doncic,DAL,SF,22.21,66,34.3,71.4,36,15.3,471,0.73,803,0.567,548,0.35,0.55,0.587,27.7,8,12.8,8.6,44.1,0.97,0.55,4.26,14.5,113.7,107.3
Dorian Finney-Smith,DAL,F,28.04,60,32,66.7,12.3,9,41,0.756,164,0.616,302,0.394,0.6,0.609,9.8,5.4,9.4,1.7,7.2,0.87,0.4,0.8,5.6,123.5,109.4
Josh Green,DAL,SG,20.5,39,11.4,23.8,11.9,14.2,23,0.565,68,0.559,25,0.16,0.473,0.49,2.6,2,9.7,0.7,8.3,0.41,0.08,0.44,5.4,105.4,108.2
Tim Hardaway Jr.,DAL,SG,29.17,70,28.4,59.1,23.4,6.1,174,0.816,382,0.524,529,0.391,0.56,0.589,16.6,3.3,6.4,1.8,9.8,0.44,0.16,0.91,6.5,116,112.4
Nate Hinton,DAL,SF,21.94,21,4.4,9.3,24.3,9.7,10,0.7,23,0.478,19,0.211,0.405,0.442,2,0.4,5.3,0.4,12.3,0.29,0.1,0.24,6.2,90.5,106.3
Wes Iwundu,DAL,SF,26.41,23,12.5,26.1,9.9,9.4,14,0.857,29,0.483,23,0.13,0.356,0.421,2.1,1.9,8.4,0.4,4.4,0.39,0.13,0.26,3.7,92.6,106.6
James Johnson,DAL,PF,34.24,29,17.4,36.2,16.2,14.6,29,0.586,85,0.612,60,0.25,0.514,0.526,5.7,3,9.4,1.7,13.7,0.83,0.79,0.93,7.1,104.1,102.1
Maxi Kleber,DAL,SF,29.3,50,26.8,55.9,10.6,9.3,37,0.919,63,0.46,212,0.41,0.58,0.606,7.1,5.2,10.7,1.4,6.6,0.48,0.7,0.6,5.6,122.8,108.1
Boban Marjanovic,DAL,C,32.75,33,8.2,17.1,24.6,8,38,0.816,114,0.535,8,0.125,0.512,0.562,4.7,3.9,26,0.3,5.9,0.06,0.18,0.36,8.6,120.7,101.5
Nicolo Melli,DAL,SF,30.3,23,14.1,29.4,12.9,5.3,18,0.722,34,0.441,48,0.333,0.476,0.506,4,2.8,11,0.8,7.7,0.26,0.13,0.22,5.9,114.9,106.8
Kristaps Porzingis,DAL,C,25.79,43,30.9,64.3,26.5,6.4,138,0.855,425,0.536,258,0.376,0.547,0.582,20.1,8.9,15.8,1.6,8.4,0.47,1.35,1.19,8.5,116.7,105.3
Dwight Powell,DAL,C,29.83,58,16.6,34.7,13.2,13.9,124,0.782,173,0.665,21,0.238,0.631,0.688,5.9,4.1,13.5,1.1,8.9,0.6,0.52,0.69,7.2,135.6,99.8
JJ Redick,DAL,SG,36.89,13,11.3,23.5,19.9,16.6,5,0.8,15,0.267,38,0.395,0.5,0.516,4.4,0.9,4.5,0.8,10.3,0.15,0.08,0.85,5.2,93.2,109.6
Josh Richardson,DAL,SF,27.67,59,30.3,63.2,18.4,10.6,108,0.917,351,0.501,267,0.33,0.498,0.537,12.1,3.3,6,2.6,12.1,1.03,0.41,1.34,6.2,108.6,109.9
Tyrell Terry,DAL,PG,20.63,11,5.1,10.7,15.2,10.4,3,0.333,9,0.556,7,0,0.313,0.318,1,0.5,5.9,0.5,13.9,0.45,0,0.18,4.9,75.1,109.9
Will Barton,DEN,PF,30.36,56,31,64.6,19,12.7,121,0.785,351,0.459,257,0.381,0.507,0.538,12.7,4,7.4,3.2,14.1,0.89,0.41,1.71,7,106.8,111.4
Bol Bol,DEN,C,21.5,32,5,10.4,21.2,16.8,15,0.667,34,0.471,24,0.375,0.509,0.534,2.2,0.8,8.5,0.2,6,0.09,0.31,0.41,5.6,91.6,107
Facundo Campazzo,DEN,G,30.15,65,21.9,45.7,13.1,17.1,91,0.879,99,0.444,216,0.352,0.502,0.558,6.1,2.1,5.3,3.6,20.2,1.22,0.22,1.12,6.5,116.1,105.9
Vlatko Cancar,DEN,F,24.1,41,6.9,14.3,14.4,15.1,13,0.769,40,0.6,33,0.273,0.514,0.54,2.1,1.2,10.3,0.3,6.4,0.27,0.05,0.34,5.3,103.5,108.8
Gary Clark,DEN,F,26.5,2,2.1,4.3,0,,0,0,0,0,0,0,,,0,0.5,13.8,0,0,0,0,0,0,,
PJ Dozier,DEN,PG,24.56,50,21.8,45.4,17.2,10.9,66,0.636,205,0.493,149,0.315,0.484,0.503,7.7,3.6,9.5,1.8,11.2,0.62,0.44,0.94,6.8,103.5,107.8
Aaron Gordon,DEN,PF,25.67,25,25.9,54,17.1,11.4,44,0.705,142,0.606,64,0.266,0.541,0.564,10.2,4.7,10.3,2.2,11.8,0.68,0.56,1.16,7.3,114.6,110.3
JaMychal Green,DEN,PF,30.9,58,19.3,40.2,17.6,11.7,57,0.807,176,0.534,198,0.399,0.568,0.59,8.1,4.8,14,0.9,6.4,0.45,0.38,0.91,6.8,115.2,101.5
R.J. Hampton,DEN,SG,20.27,25,9.3,19.4,14.3,14.4,12,0.75,42,0.476,18,0.278,0.458,0.49,2.6,2,12.2,0.6,7.7,0.2,0.08,0.44,6.3,99.3,105.6
Gary Harris,DEN,SG,26.67,19,30.6,63.8,13.7,7.6,30,0.733,81,0.556,75,0.32,0.519,0.544,9.7,2.5,4.6,1.7,7.1,0.89,0.21,0.74,4.5,112,111.6
Shaquille Harrison,DEN,PG,27.61,17,16.3,33.9,11.2,8.4,16,0.813,44,0.386,14,0.214,0.371,0.431,3.3,2.3,8,0.9,7.1,0.88,0.29,0.35,4.7,96.7,102.9
Isaiah Hartenstein,DEN,C,23.03,30,9.1,18.9,18.7,18,36,0.611,80,0.513,0,0,0.513,0.543,3.5,2.8,17.7,0.5,7.4,0.37,0.67,0.7,7.5,108.6,90.1
Markus Howard,DEN,SG,22.21,37,5.5,11.5,27.2,14.1,9,0.778,41,0.537,65,0.277,0.462,0.477,2.8,0.6,5.8,0.5,12.6,0.11,0.03,0.49,6.9,89,105.6
Nikola Jokic,DEN,PF,26.24,72,34.6,72,29.6,13.1,394,0.868,1056,0.606,237,0.388,0.602,0.647,26.4,10.8,17.8,8.3,40.4,1.32,0.67,3.08,15.4,129.8,104.8
JaVale McGee,DEN,C,33.32,13,13.5,28.1,21.7,17.2,12,0.667,63,0.508,4,0,0.478,0.498,5.5,5.3,22.3,0.5,4.8,0.23,1.08,1.15,7.2,97.3,87.2
Paul Millsap,DEN,PF,36.26,56,20.8,43.2,18.6,10.3,98,0.724,258,0.55,143,0.343,0.537,0.565,9,4.7,12.7,1.8,11.6,0.91,0.64,0.91,8.2,116,104.2
Monte Morris,DEN,PG,25.89,47,25.5,53,16.5,7.5,73,0.795,253,0.534,134,0.381,0.547,0.574,10.2,2,4.6,3.2,17.1,0.72,0.28,0.72,6.3,120.9,114.1
Jamal Murray,DEN,PG,24.23,48,35.5,73.9,24.7,11.1,153,0.869,476,0.523,316,0.408,0.559,0.592,21.2,4,6.5,4.8,20.3,1.33,0.27,2.23,8.4,116.2,111.1
Zeke Nnaji,DEN,PF,20.35,41,9.5,19.8,12.8,6.1,15,0.8,44,0.591,57,0.421,0.614,0.632,3.3,1.6,9.3,0.2,3,0.17,0.1,0.17,4.3,125,109.9
Michael Porter Jr.,DEN,SF,22.88,61,31.3,65.3,21.8,8.2,134,0.791,435,0.628,382,0.445,0.646,0.663,19,7.3,13.2,1.1,5.6,0.66,0.89,1.28,6.8,124.6,108.5
Austin Rivers,DEN,PG,28.79,15,26.9,56,14.2,10.6,17,0.706,38,0.5,72,0.375,0.541,0.558,8.7,2.3,4.9,2.6,12.5,1.2,0.13,0.93,5.6,112.7,108.2
Greg Whittington,DEN,PF,28.27,4,3,6.3,10.9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,
Saddiq Bey,DET,SF,22.1,70,27.3,56.8,18.7,7.3,147,0.844,232,0.448,460,0.38,0.53,0.566,12.2,4.6,9.3,1.4,7.6,0.74,0.2,0.86,6.3,111.5,110
Tyler Cook,DET,C,23.65,28,15,31.3,14.2,15.4,35,0.486,98,0.684,2,0.5,0.685,0.667,5.5,3.4,12.4,0.5,5.6,0.29,0.07,0.75,5.6,117.2,107.8
Hamidou Diallo,DET,SG,22.8,20,23.3,48.5,21.6,11.7,68,0.662,132,0.492,41,0.39,0.514,0.549,11.2,5.4,12.8,1.2,8.3,0.5,0.6,1.35,7.2,104.5,103.6
Sekou Doumbouya,DET,SF,20.4,56,15.5,32.3,17.8,12.4,64,0.703,167,0.485,115,0.226,0.426,0.459,5.1,2.6,9.2,0.8,8,0.43,0.16,0.79,5.7,92.5,105.1
Wayne Ellington,DET,SG,33.46,46,22,45.8,16.7,8.5,35,0.8,63,0.524,275,0.422,0.612,0.625,9.6,1.8,4.7,1.5,10.2,0.39,0.2,0.72,5.4,117.8,112.5
Jerami Grant,DET,SF,27.18,54,33.9,70.6,28.5,9.1,343,0.845,603,0.473,329,0.35,0.491,0.556,22.3,4.6,7.6,2.8,14.3,0.65,1.07,2.02,7.8,108.8,110
Blake Griffin,DET,PF,32.17,20,31.3,65.2,19.6,11.4,62,0.71,98,0.429,124,0.315,0.453,0.491,12.3,5.2,9.2,3.9,18.4,0.7,0.1,1.6,8,100.9,109
Killian Hayes,DET,SG,19.81,26,25.8,53.7,19,28.5,17,0.824,129,0.395,72,0.278,0.403,0.422,6.8,2.7,5.7,5.3,29.7,1.04,0.38,3.19,7.1,81.5,107.5
Frank Jackson,DET,SG,23.04,40,18.5,38.4,21.4,9.7,75,0.813,143,0.51,150,0.407,0.561,0.598,9.8,2.2,6.5,0.9,7.9,0.38,0.03,0.88,5.8,111.5,110.2
Josh Jackson,DET,SG,24.26,62,25.2,52.4,26.5,15,218,0.729,451,0.486,257,0.3,0.472,0.515,13.4,4.1,9.1,2.3,15.1,0.85,0.76,2.29,8,96.5,103.8
Cory Joseph,DET,PG,29.74,19,26.4,55,19.8,14.9,41,0.878,138,0.543,38,0.368,0.545,0.588,12,3.2,6.6,5.5,33.7,1.21,0.47,1.79,9,117.5,107.4
Saben Lee,DET,PG,21.9,48,16.3,33.9,17,18.1,89,0.685,187,0.487,23,0.348,0.49,0.536,5.6,2,6.9,3.6,33.2,0.67,0.27,1.15,8.4,111.5,106
Rodney McGruder,DET,PG,29.8,16,12.1,25.2,18.2,8.7,8,0.75,46,0.565,24,0.458,0.607,0.619,5.7,1.4,6.3,1,13.6,0.5,0.06,0.44,6.6,120.1,110.6
Svi Mykhailiuk,DET,SG,23.93,36,17.6,36.7,19,14.2,30,0.8,52,0.519,171,0.333,0.504,0.527,6.9,2.1,6.5,1.6,13.5,0.75,0.17,1.08,6.5,99.4,110.9
Jahlil Okafor,DET,C,25.42,27,12.9,26.8,16.7,15.8,24,0.708,92,0.663,9,0.222,0.634,0.65,5.4,2.4,10.4,0.5,6.1,0.22,0.19,0.78,5.8,113.7,105.2
Mason Plumlee,DET,PF,31.2,56,26.8,55.8,16.3,18.8,169,0.669,373,0.627,7,0,0.616,0.639,10.4,9.3,19.3,3.6,21,0.77,0.89,1.88,10.5,122.2,99.7
Derrick Rose,DET,PG,32.61,15,22.8,47.4,30.1,12.3,50,0.84,145,0.455,39,0.333,0.465,0.517,14.2,1.9,4.7,4.2,32.5,1.2,0.27,1.93,8.5,103.8,111.4
Deividas Sirvydis,DET,SF,20.93,20,6.7,13.9,15.6,10.5,6,0.5,12,0.333,28,0.357,0.475,0.481,2.1,1.5,12.1,0.3,5.4,0.1,0,0.25,5.9,90,107.7
Dennis Smith Jr.,DET,PG,23.47,20,19.6,40.9,18.8,14.8,20,0.7,80,0.463,55,0.345,0.485,0.504,7.3,2.7,7.5,3.7,28.8,1,0.7,1.25,8.5,106,106.6
Isaiah Stewart,DET,PF,19.99,68,21.4,44.6,15.5,13,92,0.696,346,0.592,63,0.333,0.578,0.597,7.9,6.7,17.3,0.9,6.3,0.56,1.26,0.99,6.8,117,100.8
Delon Wright,DET,PG,29.06,36,29.2,60.9,15.8,12.6,90,0.789,204,0.515,89,0.348,0.517,0.562,10.4,4.6,8.7,5,25.7,1.58,0.53,1.33,8.5,119.1,110.5
Kent Bazemore,GSW,SG,31.88,67,19.9,41.5,16.3,16.1,78,0.692,208,0.486,184,0.408,0.545,0.564,7.2,3.4,9.1,1.6,11.1,1.03,0.49,1.22,6.8,101.3,100.5
Jordan Bell,GSW,PF,26.36,1,14.7,30.6,11.3,25.8,2,0.5,2,0,0,0,0,0.174,1,5,18.1,2,15.8,0,2,1,5.9,69.9,97.8
Marquese Chriss,GSW,C,23.87,2,13.4,27.8,28.4,11.3,4,0.5,9,0.444,5,0.2,0.393,0.412,6.5,6.5,25.9,1,11.2,0,1,1,10.4,87.7,97.5
Stephen Curry,GSW,PG,33.17,63,34.2,71.1,34.8,12.2,395,0.916,564,0.569,801,0.421,0.605,0.655,32,5.5,8.6,5.8,30.5,1.21,0.13,3.38,11.8,118.8,108.6
Draymond Green,GSW,PF,31.2,63,31.5,65.5,13.1,31,88,0.795,254,0.535,126,0.27,0.492,0.53,7,7.1,12.1,8.9,36.5,1.7,0.83,2.98,9.7,109.8,101.2
Damion Lee,GSW,SG,28.57,57,18.9,39.4,12.8,9.3,44,0.909,80,0.638,194,0.397,0.608,0.636,6.5,3.2,8.9,1.3,9.1,0.67,0.14,0.53,6.4,121.1,105.6
Kevon Looney,GSW,C,25.27,61,19,39.6,9.4,14.5,48,0.646,180,0.578,17,0.235,0.558,0.575,4.1,5.3,14.7,1.9,13.3,0.36,0.36,0.61,7.3,129.7,101.9
Nico Mannion,GSW,PG,20.18,30,12.1,25.3,18.5,20.3,28,0.821,53,0.321,60,0.367,0.442,0.491,4.1,1.5,6.7,2.3,25.6,0.53,0.03,1.07,8,98.2,106.5
Mychal Mulder,GSW,SG,26.93,60,12.8,26.6,16.2,5.5,22,0.636,51,0.667,214,0.397,0.609,0.613,5.6,1,4.2,0.4,4.8,0.2,0.2,0.27,4.1,112.9,110.1
Kelly Oubre Jr.,GSW,SF,25.44,55,30.7,63.9,22.1,8,177,0.695,439,0.519,285,0.316,0.501,0.529,15.4,6,10.4,1.3,6.5,1.04,0.76,1.27,6.4,103.3,106.8
Eric Paschall,GSW,C,24.53,40,17.4,36.2,23.5,11.2,94,0.713,244,0.533,54,0.333,0.527,0.561,9.5,3.2,9.8,1.3,11.4,0.3,0.18,1.08,7.8,105.6,105.1
Gary Payton II,GSW,PG,28.46,10,4,8.4,16.7,6.3,4,0.75,9,0.889,4,0.5,0.846,0.847,2.5,1.1,14.5,0.1,4,0.6,0.1,0.1,6.5,152.6,83.7
Jordan Poole,GSW,SG,21.91,51,19.4,40.4,25,8.8,119,0.882,198,0.545,276,0.351,0.535,0.581,12,1.8,5,1.9,15.4,0.51,0.18,1,7.1,111.2,107.7
Alen Smailagic,GSW,SF,20.74,15,5.6,11.6,17.7,14.4,6,0.333,17,0.412,10,0.4,0.481,0.472,1.9,1.1,10.2,0.3,6.6,0.2,0.33,0.33,6.1,92,100.9
Juan Toscano-Anderson,GSW,SF,28.1,53,20.9,43.5,11,21.8,31,0.71,117,0.718,92,0.402,0.667,0.676,5.7,4.4,11.2,2.8,18.1,0.77,0.49,1.17,7.9,120.7,102.4
Brad Wanamaker,GSW,SG,31.81,39,16,33.4,16,15.8,56,0.893,112,0.429,61,0.213,0.39,0.468,4.7,1.7,5.6,2.5,20.8,0.67,0.15,0.95,6.8,99.5,106.2
Andrew Wiggins,GSW,SF,26.23,71,33.3,69.4,23.3,9.7,238,0.714,690,0.529,368,0.38,0.543,0.568,18.6,4.9,7.8,2.4,10.9,0.93,0.99,1.76,7.2,107.4,108.7
James Wiseman,GSW,C,20.13,39,21.4,44.7,23.8,12.9,86,0.628,330,0.542,38,0.316,0.535,0.552,11.5,5.8,14.4,0.7,4.9,0.28,0.92,1.54,6.7,99.5,98.3
D.J. Augustin,HOU,PG,33.52,20,20.8,43.4,21,15.1,54,0.907,63,0.476,88,0.386,0.536,0.604,10.6,2.2,5.6,3.9,28.3,0.4,0,1.55,8.6,118.2,115.2
Avery Bradley,HOU,PG,30.47,17,23,47.9,13.8,15,6,0.833,42,0.381,63,0.27,0.395,0.409,5.2,2.3,5.3,1.9,11.2,0.82,0.18,1.12,4.9,83.7,112.1
Armoni Brooks,HOU,SG,22.95,20,26,54.2,17.9,10,12,0.583,35,0.514,157,0.382,0.563,0.565,11.2,3.4,7,1.5,8.6,0.6,0.25,1.1,5.9,105.1,113.1
Sterling Brown,HOU,SG,26.26,51,24.1,50.2,13.5,10.5,31,0.806,119,0.496,215,0.423,0.585,0.598,8.2,4.4,9.7,1.4,8.4,0.75,0.24,0.8,6.1,114.1,110.1
Bruno Caboclo,HOU,SF,25.65,6,6.1,12.6,25.6,18.3,2,0.5,12,0.667,5,0,0.471,0.475,2.8,2.3,20.5,0.2,4.6,0,0.33,0.67,7.1,83.1,98.6
DeMarcus Cousins,HOU,PF,30.76,25,20.2,42.2,23.1,14.2,59,0.746,94,0.426,116,0.336,0.469,0.511,9.6,7.6,20.1,2.4,18,0.84,0.72,1.56,11.1,101.7,97.7
Eric Gordon,HOU,SG,32.39,27,29.2,60.9,25.2,10.9,114,0.825,157,0.573,210,0.329,0.527,0.577,17.8,2.1,3.9,2.6,14.6,0.52,0.48,1.89,6.3,108.4,115.8
James Harden,HOU,SG,31.72,8,36.3,75.5,28.7,17.4,60,0.883,63,0.556,72,0.347,0.537,0.613,24.8,5.1,7.5,10.4,46.9,0.88,0.75,4.25,12.1,118.8,114.6
Danuel House Jr.,HOU,SG,27.94,36,25.9,54,15.3,10.7,63,0.651,116,0.483,156,0.346,0.504,0.525,8.8,3.7,7.5,1.9,10.6,0.58,0.44,1,6.1,103.7,112.2
DaQuan Jeffries,HOU,SG,23.71,13,20.1,41.8,11.3,8.6,1,1,24,0.625,39,0.282,0.5,0.504,4.9,3.2,8.6,1.2,8.6,0.62,0.46,0.46,5.3,106.5,109
Mason Jones,HOU,PG,22.82,26,11.8,24.6,23.1,16.8,57,0.614,50,0.48,64,0.359,0.513,0.546,5.8,2,8.8,1.5,19.1,0.23,0.04,1.08,8.8,100.7,111.6
Rodions Kurucs,HOU,PF,23.28,11,6.8,14.2,17.5,29.1,2,0.5,6,0.5,15,0.133,0.286,0.297,1.2,1,7.8,0.4,7.1,0.55,0.36,0.82,4.6,53,106.3
Anthony Lamb,HOU,PF,23.32,24,17.3,36,15,13,21,0.857,47,0.489,71,0.324,0.487,0.523,5.5,2.9,9,1,7.8,0.25,0.21,0.79,5.8,104.9,112.1
Kenyon Martin Jr.,HOU,SF,20.36,45,23.7,49.4,15.7,9.7,84,0.714,222,0.572,96,0.365,0.564,0.59,9.3,5.4,12.1,1.1,6.8,0.67,0.91,0.84,6.4,116.7,109.6
Ben McLemore,HOU,SG,28.26,32,16.8,35,21.1,10.5,32,0.719,58,0.431,166,0.331,0.48,0.5,7.4,2.1,6.6,0.9,7.8,0.63,0.09,0.88,5.7,94.8,109.3
David Nwaba,HOU,SG,28.34,30,22.6,47.1,16.5,6.4,68,0.691,154,0.578,63,0.27,0.528,0.559,9.2,3.9,9.3,1,6.9,1,0.7,0.57,5.8,115.1,109.2
Victor Oladipo,HOU,SG,29.03,20,33.5,69.7,29.8,10.9,83,0.783,228,0.465,153,0.32,0.471,0.508,21.2,4.8,7.6,5,25.3,1.2,0.5,2.55,9.5,100.3,111.6
Cameron Oliver,HOU,C,20,4,21.9,45.5,18.4,7.9,4,0.25,20,0.75,13,0.308,0.636,0.619,10.8,5.3,12.8,1.3,9.5,0.5,1,0.75,7.7,117.4,104.6
Kelly Olynyk,HOU,C,30.08,27,31.1,64.8,22.9,15.7,135,0.844,196,0.643,125,0.392,0.621,0.674,19,8.4,14.5,4.1,21.9,1.44,0.59,2.63,11.2,123.1,105
Justin Patton,HOU,C,23.92,13,19,39.5,13.1,5.3,4,0.75,36,0.556,34,0.265,0.479,0.488,5.4,3.8,10.6,1.1,8.1,0.92,1.08,0.31,5.9,108,102.8
Kevin Porter Jr.,HOU,SG,21.03,26,32.1,66.9,25.4,18.2,94,0.734,206,0.515,161,0.311,0.493,0.528,16.6,3.8,6.3,6.3,31.2,0.73,0.31,3.5,9.2,100.7,112.8
Cameron Reynolds,HOU,SF,26.27,2,17.2,35.7,19.8,0,0,0,4,0.5,12,0.25,0.406,0.406,6.5,2.5,7.8,1,8.7,0,0,0,5.9,95,116
Ray Spalding,HOU,PF,24.18,2,9.4,19.5,17.9,38.1,2,0,3,0.667,1,0,0.5,0.41,2,2,11.4,0,0,0,1,1.5,0,60.2,104.1
Jae'Sean Tate,HOU,SF,25.55,70,29.2,60.8,16.4,12.5,147,0.694,431,0.594,195,0.308,0.553,0.575,11.3,5.3,9.8,2.5,13.2,1.21,0.51,1.41,7.3,113.9,107.1
Brodric Thomas,HOU,SG,24.3,4,6.1,12.6,24.7,28.4,7,0.714,1,1,6,0.167,0.357,0.496,2.5,1,8.8,1,22.5,0.25,0.25,1,8.9,88.4,96.3
Khyri Thomas,HOU,SG,25.02,5,30.6,63.7,21.1,7.9,9,1,39,0.59,27,0.333,0.553,0.586,16.4,3.6,6.3,5,26.9,1.8,1.2,1.2,8.7,122.8,113.3
P.J. Tucker,HOU,PF,36.03,32,30,62.4,7.7,19,23,0.783,45,0.467,86,0.314,0.469,0.5,4.4,4.6,8.2,1.4,6.1,0.88,0.56,1.03,4.1,99,109.3
John Wall,HOU,PG,30.69,40,32.2,67.1,31.7,14.7,211,0.749,477,0.449,249,0.317,0.458,0.503,20.6,3.2,5.3,6.9,36.2,1.05,0.78,3.53,9.6,99.3,116.4
D.J. Wilson,HOU,PF,25.24,23,14.3,29.7,19.9,11.8,23,0.696,66,0.485,59,0.339,0.496,0.518,6.1,3.8,14.1,0.9,9.3,0.43,0.52,0.78,7.7,100.6,106.8
Christian Wood,HOU,PF,25.64,41,32.3,67.4,25.9,9.9,198,0.631,434,0.581,206,0.374,0.574,0.591,21,9.6,15.9,1.7,9.4,0.83,1.17,1.95,8.7,110.5,109.4
Goga Bitadze,IND,C,21.83,45,12.5,26,18,7.1,61,0.738,115,0.548,79,0.253,0.479,0.523,5.1,3.3,14.5,0.8,8.9,0.2,1.33,0.38,7.6,115.3,99.4
Brian Bowen II,IND,SF,22.62,5,2.8,5.9,13.4,0,1,1,3,0.333,1,0,0.25,0.338,0.6,0.6,11.5,0,0,0,0,0,0,,
Amida Brimah,IND,C,27.26,5,5.9,12.2,19.4,30,3,1,8,0.625,0,0,0.625,0.697,2.6,1.6,14.8,0.2,4.7,0,1,0.8,6.4,101,102.1
Oshae Brissett,IND,PF,22.91,21,24.7,51.5,15.6,5.3,65,0.769,73,0.548,78,0.423,0.593,0.638,10.9,5.5,12,0.9,4.6,0.9,0.95,0.48,6.1,129.2,109.6
Malcolm Brogdon,IND,PG,28.43,56,34.5,71.8,25.9,9.8,177,0.864,606,0.493,374,0.388,0.527,0.561,21.2,5.3,8.3,5.9,25.7,0.88,0.27,2.05,10.1,113,112.1
Aaron Holiday,IND,PG,24.63,66,17.8,37.1,19.5,12.3,83,0.819,254,0.406,182,0.368,0.467,0.503,7.2,1.3,4.1,1.9,14.1,0.7,0.2,1,5.9,98.6,110.7
Justin Holiday,IND,SG,32.12,72,30.3,63.2,14,7.5,85,0.788,172,0.494,453,0.382,0.551,0.571,10.5,3.6,6.4,1.7,7.1,1.03,0.57,0.75,5.3,111.3,111.7
Jeremy Lamb,IND,SG,28.96,36,21.3,44.3,18.4,6.6,75,0.947,148,0.459,128,0.406,0.529,0.587,10.1,3.6,9.3,1.5,9.4,0.94,0.64,0.61,7.1,118.8,106.5
Jalen Lecque,IND,G,20.92,4,3,6.3,36.3,0,3,1,8,0.125,1,0,0.111,0.242,1.3,1.3,22.4,0.5,20.4,0,0,0,12.6,,
